rollrange,pitchrange,yawrange,rollspeedrange,pitchspeedrange,yawspeedrange,airspeedrange,throttlerange,climbrange,phase,distance meaning,GPS_status,Gyro_status,Accel_status,Baro_status
roll between -0.0009 and -0.0003,pitch between 0.0009 and 0.001,yaw between 0.02 and 0.025,rollspeed between 0.00009 and 0.0004,pitchspeed between 0.0001 and 0.0005,yawspeed between 0.001 and 0.002,airspeed between 0 and 0,throttle between 0 and 0,climb between -0.02 and 0.09,STABILISE,no change,1,1,1,1
roll between -0.0009 and -0.0003,pitch between 0.0009 and 0.001,yaw between 0.02 and 0.025,rollspeed between 0.00009 and 0.0004,pitchspeed between 0.0001 and 0.0005,yawspeed between 0.001 and 0.002,airspeed between 0 and 0,throttle between 0 and 0,climb between -0.02 and 0.09,STABILISE,no change,1,1,1,1
roll between -0.0009 and -0.0003,pitch between 0.0009 and 0.001,yaw between 0.02 and 0.025,rollspeed between 0.00009 and 0.0004,pitchspeed between 0.0001 and 0.0005,yawspeedrange,airspeed between 0 and 0,throttle between 0 and 0,climb between -0.02 and 0.09,STABILISE,no change,1,1,1,1
roll between -0.0009 and -0.0003,pitch between 0.0009 and 0.001,yaw between 0.02 and 0.025,rollspeed between 0.00009 and 0.0004,pitchspeed between 0.0001 and 0.0005,yawspeed between 0.001 and 0.002,airspeed between 0 and 0,throttle between 0 and 0,climb between -0.02 and 0.09,STABILISE,no change,1,1,1,1
roll between -0.0009 and -0.0003,pitch between 0.0009 and 0.001,yaw between 0.02 and 0.025,rollspeed between 0.00009 and 0.0004,pitchspeed between 0.0001 and 0.0005,yawspeed between 0.001 and 0.002,airspeed between 0 and 0,throttle between 0 and 0,climb between -0.02 and 0.09,STABILISE,no change,1,1,1,1
roll between -0.0009 and -0.0003,pitch between 0.0009 and 0.001,yaw between 0.02 and 0.025,rollspeed between 0.00009 and 0.0004,pitchspeed between 0.0001 and 0.0005,yawspeedrange,airspeed between 0 and 0,throttle between 0 and 0,climb between -0.02 and 0.09,STABILISE,further,1,1,1,1
roll between -0.0009 and -0.0003,pitch between 0.0009 and 0.001,yaw between 0.02 and 0.025,rollspeed between 0.00009 and 0.0004,pitchspeed between 0.0001 and 0.0005,yawspeed between 0.001 and 0.002,airspeed between 0 and 0,throttle between 0 and 0,climb between -0.02 and 0.09,STABILISE,no change,1,1,1,1
roll between -0.0009 and -0.0003,pitch between 0.0009 and 0.001,yaw between 0.02 and 0.025,rollspeed between 0.00009 and 0.0004,pitchspeed between 0.0001 and 0.0005,yawspeed between 0.001 and 0.002,airspeed between 0 and 0,throttle between 0 and 0,climb between -0.02 and 0.09,STABILISE,no change,1,1,1,1
roll between -0.0009 and -0.0003,pitch between 0.0009 and 0.001,yaw between 0.02 and 0.025,rollspeed between 0.00009 and 0.0004,pitchspeed between 0.0001 and 0.0005,yawspeedrange,airspeed between 0 and 0,throttle between 0 and 0,climb between -0.02 and 0.09,STABILISE,no change,1,1,1,1
roll between -0.0009 and -0.0003,pitch between 0.0009 and 0.001,yaw between 0.02 and 0.025,rollspeed between 0.00009 and 0.0004,pitchspeed between 0.0001 and 0.0005,yawspeed between 0.001 and 0.002,airspeed between 0 and 0,throttle between 0 and 0,climb between -0.02 and 0.09,STABILISE,nearer,1,1,1,1
roll between -0.0009 and -0.0003,pitch between 0.0009 and 0.001,yaw between 0.02 and 0.025,rollspeed between 0.00009 and 0.0004,pitchspeed between 0.0001 and 0.0005,yawspeed between 0.001 and 0.002,airspeed between 0 and 0,throttle between 0 and 0,climb between -0.02 and 0.09,STABILISE,no change,1,1,1,1
roll between -0.0009 and -0.0003,pitch between 0.0009 and 0.001,yaw between 0.02 and 0.025,rollspeed between 0.00009 and 0.0004,pitchspeed between 0.0001 and 0.0005,yawspeedrange,airspeed between 0 and 0,throttle between 0 and 0,climb between -0.02 and 0.09,STABILISE,nearer,1,1,1,1
roll between -0.0009 and -0.0003,pitch between 0.0009 and 0.001,yaw between 0.02 and 0.025,rollspeed between 0.00009 and 0.0004,pitchspeed between 0.0001 and 0.0005,yawspeed between 0.001 and 0.002,airspeed between 0 and 0,throttle between 0 and 0,climb between -0.02 and 0.09,STABILISE,no change,1,1,1,1
roll between -0.0009 and -0.0003,pitch between 0.0009 and 0.001,yaw between 0.02 and 0.025,rollspeed between 0.00009 and 0.0004,pitchspeed between 0.0001 and 0.0005,yawspeed between 0.001 and 0.002,airspeed between 0 and 0,throttle between 0 and 0,climb between -0.02 and 0.09,STABILISE,no change,1,1,1,1
roll between -0.0009 and -0.0003,pitch between 0.0009 and 0.001,yaw between 0.02 and 0.025,rollspeed between 0.00009 and 0.0004,pitchspeed between 0.0001 and 0.0005,yawspeedrange,airspeed between 0 and 0,throttle between 0 and 0,climb between -0.02 and 0.09,STABILISE,nearer,1,1,1,1
roll between -0.0009 and -0.0003,pitch between 0.0009 and 0.001,yaw between 0.02 and 0.025,rollspeed between 0.00009 and 0.0004,pitchspeed between 0.0001 and 0.0005,yawspeed between 0.001 and 0.002,airspeed between 0 and 0,throttle between 0 and 0,climb between -0.02 and 0.09,STABILISE,no change,1,1,1,1
roll between -0.0009 and -0.0003,pitch between 0.0009 and 0.001,yaw between 0.02 and 0.025,rollspeed between 0.00009 and 0.0004,pitchspeed between 0.0001 and 0.0005,yawspeed between 0.001 and 0.002,airspeed between 0 and 0,throttle between 0 and 0,climb between -0.02 and 0.09,STABILISE,no change,1,1,1,1
roll between -0.0009 and -0.0003,pitch between 0.0009 and 0.001,yaw between 0.02 and 0.025,rollspeed between 0.00009 and 0.0004,pitchspeed between 0.0001 and 0.0005,yawspeedrange,airspeed between 0 and 0,throttle between 0 and 0,climb between -0.02 and 0.09,STABILISE,no change,1,1,1,1
roll between -0.0009 and -0.0003,pitch between 0.0009 and 0.001,yaw between 0.02 and 0.025,rollspeed between 0.00009 and 0.0004,pitchspeed between 0.0001 and 0.0005,yawspeed between 0.001 and 0.002,airspeed between 0 and 0,throttle between 0 and 0,climb between -0.02 and 0.09,STABILISE,no change,1,1,1,1
roll between -0.0009 and -0.0003,pitch between 0.0009 and 0.001,yaw between 0.02 and 0.025,rollspeed between 0.00009 and 0.0004,pitchspeed between 0.0001 and 0.0005,yawspeed between 0.001 and 0.002,airspeed between 0 and 0,throttle between 0 and 0,climb between -0.02 and 0.09,STABILISE,nearer,1,1,1,1
roll between -0.0009 and -0.0003,pitch between 0.0009 and 0.001,yaw between 0.02 and 0.025,rollspeed between 0.00009 and 0.0004,pitchspeed between 0.0001 and 0.0005,yawspeedrange,airspeed between 0 and 0,throttle between 0 and 0,climb between -0.02 and 0.09,STABILISE,no change,1,1,1,1
roll between -0.0009 and -0.0003,pitch between 0.0009 and 0.001,yaw between 0.02 and 0.025,rollspeed between 0.00009 and 0.0004,pitchspeed between 0.0001 and 0.0005,yawspeed between 0.001 and 0.002,airspeed between 0 and 0,throttle between 0 and 0,climb between -0.02 and 0.09,STABILISE,nearer,1,1,1,1
roll between -0.0009 and -0.0003,pitch between 0.0009 and 0.001,yaw between 0.02 and 0.025,rollspeed between 0.00009 and 0.0004,pitchspeed between 0.0001 and 0.0005,yawspeed between 0.001 and 0.002,airspeed between 0 and 0,throttle between 0 and 0,climb between -0.02 and 0.09,STABILISE,no change,1,1,1,1
roll between -0.0009 and -0.0003,pitch between 0.0009 and 0.001,yaw between 0.02 and 0.025,rollspeed between 0.00009 and 0.0004,pitchspeed between 0.0001 and 0.0005,yawspeedrange,airspeed between 0 and 0,throttle between 0 and 0,climb between -0.02 and 0.09,STABILISE,no change,1,1,1,1
roll between -0.0009 and -0.0003,pitch between 0.0009 and 0.001,yaw between 0.02 and 0.025,rollspeed between 0.00009 and 0.0004,pitchspeed between 0.0001 and 0.0005,yawspeed between 0.001 and 0.002,airspeed between 0 and 0,throttle between 0 and 0,climb between -0.02 and 0.09,STABILISE,no change,1,1,1,1
roll between -0.0009 and -0.0003,pitch between 0.0009 and 0.001,yaw between 0.02 and 0.025,rollspeed between 0.00009 and 0.0004,pitchspeed between 0.0001 and 0.0005,yawspeed between 0.001 and 0.002,airspeed between 0 and 0,throttle between 0 and 0,climb between -0.02 and 0.09,STABILISE,no change,1,1,1,1
roll between -0.0009 and -0.0003,pitch between 0.0009 and 0.001,yaw between 0.02 and 0.025,rollspeed between 0.00009 and 0.0004,pitchspeed between 0.0001 and 0.0005,yawspeedrange,airspeed between 0 and 0,throttle between 0 and 0,climb between -0.02 and 0.09,STABILISE,no change,1,1,1,1
roll between -0.0009 and -0.0003,pitch between 0.0009 and 0.001,yaw between 0.02 and 0.025,rollspeed between 0.00009 and 0.0004,pitchspeed between 0.0001 and 0.0005,yawspeed between 0.001 and 0.002,airspeed between 0 and 0,throttle between 0 and 0,climb between -0.02 and 0.09,STABILISE,no change,1,1,1,1
roll between -0.0009 and -0.0003,pitch between 0.0009 and 0.001,yaw between 0.02 and 0.025,rollspeed between 0.00009 and 0.0004,pitchspeed between 0.0001 and 0.0005,yawspeed between 0.001 and 0.002,airspeed between 0 and 0,throttle between 0 and 0,climb between -0.02 and 0.09,STABILISE,no change,1,1,1,1
roll between -0.0009 and -0.0003,pitch between 0.0009 and 0.001,yaw between 0.02 and 0.025,rollspeed between 0.00009 and 0.0004,pitchspeed between 0.0001 and 0.0005,yawspeedrange,airspeed between 0 and 0,throttle between 0 and 0,climb between -0.02 and 0.09,STABILISE,nearer,1,1,1,1
roll between -0.0009 and -0.0003,pitch between 0.0009 and 0.001,yaw between 0.02 and 0.025,rollspeed between 0.00009 and 0.0004,pitchspeed between 0.0001 and 0.0005,yawspeed between 0.001 and 0.002,airspeed between 0 and 0,throttle between 0 and 0,climb between -0.02 and 0.09,STABILISE,nearer,1,1,1,1
roll between -0.0009 and -0.0003,pitch between 0.0009 and 0.001,yaw between 0.02 and 0.025,rollspeed between 0.00009 and 0.0004,pitchspeed between 0.0001 and 0.0005,yawspeed between 0.001 and 0.002,airspeed between 0 and 0,throttle between 0 and 0,climb between -0.02 and 0.09,STABILISE,no change,1,1,1,1
roll between -0.0009 and -0.0003,pitch between 0.0009 and 0.001,yaw between 0.02 and 0.025,rollspeed between 0.00009 and 0.0004,pitchspeed between 0.0001 and 0.0005,yawspeedrange,airspeed between 0 and 0,throttle between 0 and 0,climb between -0.02 and 0.09,STABILISE,no change,1,1,1,1
roll between -0.0009 and -0.0003,pitch between 0.0009 and 0.001,yaw between 0.02 and 0.025,rollspeed between 0.00009 and 0.0004,pitchspeed between 0.0001 and 0.0005,yawspeed between 0.001 and 0.002,airspeed between 0 and 0,throttle between 0 and 0,climb between -0.02 and 0.09,STABILISE,no change,1,1,1,1
roll between -0.0009 and -0.0003,pitch between 0.0009 and 0.001,yaw between 0.02 and 0.025,rollspeed between 0.00009 and 0.0004,pitchspeed between 0.0001 and 0.0005,yawspeed between 0.001 and 0.002,airspeed between 0 and 0,throttle between 0 and 0,climb between -0.02 and 0.09,STABILISE,nearer,1,1,1,1
roll between -0.0009 and -0.0003,pitch between 0.0009 and 0.001,yaw between 0.02 and 0.025,rollspeed between 0.00009 and 0.0004,pitchspeed between 0.0001 and 0.0005,yawspeedrange,airspeed between 0 and 0,throttle between 0 and 0,climb between -0.02 and 0.09,STABILISE,nearer,1,1,1,1
roll between -0.0009 and -0.0003,pitch between 0.0009 and 0.001,yaw between 0.02 and 0.025,rollspeed between 0.00009 and 0.0004,pitchspeed between 0.0001 and 0.0005,yawspeed between 0.001 and 0.002,airspeed between 0 and 0,throttle between 0 and 0,climb between -0.02 and 0.09,STABILISE,no change,1,1,1,1
roll between -0.0009 and -0.0003,pitch between 0.0009 and 0.001,yaw between 0.02 and 0.025,rollspeed between 0.00009 and 0.0004,pitchspeed between 0.0001 and 0.0005,yawspeed between 0.001 and 0.002,airspeed between 0 and 0,throttle between 0 and 0,climb between -0.02 and 0.09,STABILISE,no change,1,1,1,1
roll between -0.0009 and -0.0003,pitch between 0.0009 and 0.001,yaw between 0.02 and 0.025,rollspeed between 0.00009 and 0.0004,pitchspeed between 0.0001 and 0.0005,yawspeedrange,airspeed between 0 and 0,throttle between 0 and 0,climb between -0.02 and 0.09,STABILISE,no change,1,1,1,1
roll between -0.0009 and -0.0003,pitch between 0.0009 and 0.001,yaw between 0.02 and 0.025,rollspeed between 0.00009 and 0.0004,pitchspeed between 0.0001 and 0.0005,yawspeed between 0.001 and 0.002,airspeed between 0 and 0,throttle between 0 and 0,climb between -0.02 and 0.09,STABILISE,no change,1,1,1,1
roll between -0.0009 and -0.0003,pitch between 0.0009 and 0.001,yaw between 0.02 and 0.025,rollspeed between 0.00009 and 0.0004,pitchspeed between 0.0001 and 0.0005,yawspeed between 0.001 and 0.002,airspeed between 0 and 0,throttle between 0 and 0,climb between -0.02 and 0.09,STABILISE,no change,1,1,1,1
roll between -0.0009 and -0.0003,pitch between 0.0009 and 0.001,yaw between 0.02 and 0.025,rollspeed between 0.00009 and 0.0004,pitchspeed between 0.0001 and 0.0005,yawspeedrange,airspeed between 0 and 0,throttle between 0 and 0,climb between -0.02 and 0.09,STABILISE,no change,1,1,1,1
roll between -0.0009 and -0.0003,pitch between 0.0009 and 0.001,yaw between 0.02 and 0.025,rollspeed between 0.00009 and 0.0004,pitchspeed between 0.0001 and 0.0005,yawspeed between 0.001 and 0.002,airspeed between 0 and 0,throttle between 0 and 0,climb between -0.02 and 0.09,STABILISE,no change,1,1,1,1
roll between -0.0009 and -0.0003,pitch between 0.0009 and 0.001,yaw between 0.02 and 0.025,rollspeed between 0.00009 and 0.0004,pitchspeed between 0.0001 and 0.0005,yawspeed between 0.001 and 0.002,airspeed between 0 and 0,throttle between 0 and 0,climb between -0.02 and 0.09,STABILISE,no change,1,1,1,1
roll between -0.0009 and -0.0003,pitch between 0.0009 and 0.001,yaw between 0.02 and 0.025,rollspeed between 0.00009 and 0.0004,pitchspeed between 0.0001 and 0.0005,yawspeedrange,airspeed between 0 and 0,throttle between 0 and 0,climb between -0.02 and 0.09,STABILISE,no change,1,1,1,1
roll between -0.0009 and -0.0003,pitch between 0.0009 and 0.001,yaw between 0.02 and 0.025,rollspeed between 0.00009 and 0.0004,pitchspeed between 0.0001 and 0.0005,yawspeed between 0.001 and 0.002,airspeed between 0 and 0,throttle between 0 and 0,climb between -0.02 and 0.09,STABILISE,no change,1,1,1,1
roll between -0.0009 and -0.0003,pitch between 0.0009 and 0.001,yaw between 0.02 and 0.025,rollspeed between 0.00009 and 0.0004,pitchspeed between 0.0001 and 0.0005,yawspeed between 0.001 and 0.002,airspeed between 0 and 0,throttle between 0 and 0,climb between -0.02 and 0.09,STABILISE,no change,1,1,1,1
roll between -0.0009 and -0.0003,pitch between 0.0009 and 0.001,yaw between 0.02 and 0.025,rollspeed between 0.00009 and 0.0004,pitchspeed between 0.0001 and 0.0005,yawspeedrange,airspeed between 0 and 0,throttle between 0 and 0,climb between -0.02 and 0.09,STABILISE,no change,1,1,1,1
roll between -0.0009 and -0.0003,pitch between 0.0009 and 0.001,yaw between 0.02 and 0.025,rollspeed between 0.00009 and 0.0004,pitchspeed between 0.0001 and 0.0005,yawspeed between 0.001 and 0.002,airspeed between 0 and 0,throttle between 0 and 0,climb between -0.02 and 0.09,STABILISE,no change,1,1,1,1
roll between -0.0009 and -0.0003,pitch between 0.0009 and 0.001,yaw between 0.02 and 0.025,rollspeed between 0.00009 and 0.0004,pitchspeed between 0.0001 and 0.0005,yawspeed between 0.001 and 0.002,airspeed between 0 and 0,throttle between 0 and 0,climb between -0.02 and 0.09,STABILISE,further,1,1,1,1
roll between -0.0009 and -0.0003,pitch between 0.0009 and 0.001,yaw between 0.02 and 0.025,rollspeed between 0.00009 and 0.0004,pitchspeed between 0.0001 and 0.0005,yawspeedrange,airspeed between 0 and 0,throttle between 0 and 0,climb between -0.02 and 0.09,STABILISE,no change,1,1,1,1
roll between -0.0009 and -0.0003,pitch between 0.0009 and 0.001,yaw between 0.02 and 0.025,rollspeed between 0.00009 and 0.0004,pitchspeed between 0.0001 and 0.0005,yawspeed between 0.001 and 0.002,airspeed between 0 and 0,throttle between 0 and 0,climb between -0.02 and 0.09,STABILISE,no change,1,1,1,1
roll between -0.0009 and -0.0003,pitch between 0.0009 and 0.001,yaw between 0.02 and 0.025,rollspeed between 0.00009 and 0.0004,pitchspeed between 0.0001 and 0.0005,yawspeed between 0.001 and 0.002,airspeed between 0 and 0,throttle between 0 and 0,climb between -0.02 and 0.09,STABILISE,no change,1,1,1,1
roll between -0.0009 and -0.0003,pitch between 0.0009 and 0.001,yaw between 0.02 and 0.025,rollspeed between 0.00009 and 0.0004,pitchspeed between 0.0001 and 0.0005,yawspeedrange,airspeed between 0 and 0,throttle between 0 and 0,climb between -0.02 and 0.09,STABILISE,no change,1,1,1,1
roll between -0.0009 and -0.0003,pitch between 0.0009 and 0.001,yaw between 0.02 and 0.025,rollspeed between 0.00009 and 0.0004,pitchspeed between 0.0001 and 0.0005,yawspeed between 0.001 and 0.002,airspeed between 0 and 0,throttle between 0 and 0,climb between -0.02 and 0.09,STABILISE,no change,1,1,1,1
roll between -0.0009 and -0.0003,pitch between 0.0009 and 0.001,yaw between 0.02 and 0.025,rollspeed between 0.00009 and 0.0004,pitchspeed between 0.0001 and 0.0005,yawspeed between 0.001 and 0.002,airspeed between 0 and 0,throttle between 0 and 0,climb between -0.02 and 0.09,STABILISE,further,1,1,1,1
roll between -0.0009 and -0.0003,pitch between 0.0009 and 0.001,yaw between 0.02 and 0.025,rollspeed between 0.00009 and 0.0004,pitchspeed between 0.0001 and 0.0005,yawspeedrange,airspeed between 0 and 0,throttle between 0 and 0,climb between -0.02 and 0.09,STABILISE,no change,1,1,1,1
roll between -0.0009 and -0.0003,pitch between 0.0009 and 0.001,yaw between 0.02 and 0.025,rollspeed between 0.00009 and 0.0004,pitchspeed between 0.0001 and 0.0005,yawspeed between 0.001 and 0.002,airspeed between 0 and 0,throttle between 0 and 0,climb between -0.02 and 0.09,STABILISE,no change,1,1,1,1
roll between -0.0009 and -0.0003,pitch between 0.0009 and 0.001,yaw between 0.02 and 0.025,rollspeed between 0.00009 and 0.0004,pitchspeed between 0.0001 and 0.0005,yawspeed between 0.001 and 0.002,airspeed between 0 and 0,throttle between 0 and 0,climb between -0.02 and 0.09,STABILISE,no change,1,1,1,1
roll between -0.0009 and -0.0003,pitch between 0.0009 and 0.001,yaw between 0.02 and 0.025,rollspeed between 0.00009 and 0.0004,pitchspeed between 0.0001 and 0.0005,yawspeedrange,airspeed between 0 and 0,throttle between 0 and 0,climb between -0.02 and 0.09,STABILISE,no change,1,1,1,1
roll between -0.0009 and -0.0003,pitch between 0.0009 and 0.001,yaw between 0.02 and 0.025,rollspeed between 0.00009 and 0.0004,pitchspeed between 0.0001 and 0.0005,yawspeed between 0.001 and 0.002,airspeed between 0 and 0,throttle between 0 and 0,climb between -0.02 and 0.09,STABILISE,no change,1,1,1,1
roll between -0.0009 and -0.0003,pitch between 0.0009 and 0.001,yaw between 0.02 and 0.025,rollspeed between 0.00009 and 0.0004,pitchspeed between 0.0001 and 0.0005,yawspeed between 0.001 and 0.002,airspeed between 0 and 0,throttle between 0 and 0,climb between -0.02 and 0.09,STABILISE,no change,1,1,1,1
roll between -0.0009 and -0.0003,pitch between 0.0009 and 0.001,yaw between 0.02 and 0.025,rollspeed between 0.00009 and 0.0004,pitchspeed between 0.0001 and 0.0005,yawspeedrange,airspeed between 0 and 0,throttle between 0 and 0,climb between -0.02 and 0.09,STABILISE,no change,1,1,1,1
roll between -0.0009 and -0.0003,pitch between 0.0009 and 0.001,yaw between 0.02 and 0.025,rollspeed between 0.00009 and 0.0004,pitchspeed between 0.0001 and 0.0005,yawspeed between 0.001 and 0.002,airspeed between 0 and 0,throttle between 0 and 0,climb between -0.02 and 0.09,STABILISE,no change,1,1,1,1
roll between -0.0009 and -0.0003,pitch between 0.0009 and 0.001,yaw between 0.02 and 0.025,rollspeed between 0.00009 and 0.0004,pitchspeed between 0.0001 and 0.0005,yawspeed between 0.001 and 0.002,airspeed between 0 and 0,throttle between 0 and 0,climb between -0.02 and 0.09,STABILISE,no change,1,1,1,1
roll between -0.0009 and -0.0003,pitch between 0.0009 and 0.001,yaw between 0.02 and 0.025,rollspeed between 0.00009 and 0.0004,pitchspeed between 0.0001 and 0.0005,yawspeedrange,airspeed between 0 and 0,throttle between 0 and 0,climb between -0.02 and 0.09,STABILISE,nearer,1,1,1,1
roll between -0.0009 and -0.0003,pitch between 0.0009 and 0.001,yaw between 0.02 and 0.025,rollspeed between 0.00009 and 0.0004,pitchspeed between 0.0001 and 0.0005,yawspeed between 0.001 and 0.002,airspeed between 0 and 0,throttle between 0 and 0,climb between -0.02 and 0.09,STABILISE,no change,1,1,1,1
roll between -0.0009 and -0.0003,pitch between 0.0009 and 0.001,yaw between 0.02 and 0.025,rollspeed between 0.00009 and 0.0004,pitchspeed between 0.0001 and 0.0005,yawspeed between 0.001 and 0.002,airspeed between 0 and 0,throttle between 0 and 0,climb between -0.02 and 0.09,STABILISE,no change,1,1,1,1
roll between -0.0009 and -0.0003,pitch between 0.0009 and 0.001,yaw between 0.02 and 0.025,rollspeed between 0.00009 and 0.0004,pitchspeed between 0.0001 and 0.0005,yawspeedrange,airspeed between 0 and 0,throttle between 0 and 0,climb between -0.02 and 0.09,STABILISE,no change,1,1,1,1
roll between -0.0009 and -0.0003,pitch between 0.0009 and 0.001,yaw between 0.02 and 0.025,rollspeed between 0.00009 and 0.0004,pitchspeed between 0.0001 and 0.0005,yawspeed between 0.001 and 0.002,airspeed between 0 and 0,throttle between 0 and 0,climb between -0.02 and 0.09,STABILISE,no change,1,1,1,1
roll between -0.0009 and -0.0003,pitch between 0.0009 and 0.001,yaw between 0.02 and 0.025,rollspeed between 0.00009 and 0.0004,pitchspeed between 0.0001 and 0.0005,yawspeed between 0.001 and 0.002,airspeed between 0 and 0,throttle between 0 and 0,climb between -0.02 and 0.09,STABILISE,no change,1,1,1,1
roll between -0.0009 and -0.0003,pitch between 0.0009 and 0.001,yaw between 0.02 and 0.025,rollspeed between 0.00009 and 0.0004,pitchspeed between 0.0001 and 0.0005,yawspeedrange,airspeed between 0 and 0,throttle between 0 and 0,climb between -0.02 and 0.09,STABILISE,no change,1,1,1,1
roll between -0.0009 and -0.0003,pitch between 0.0009 and 0.001,yaw between 0.02 and 0.025,rollspeed between 0.00009 and 0.0004,pitchspeed between 0.0001 and 0.0005,yawspeed between 0.001 and 0.002,airspeed between 0 and 0,throttle between 0 and 0,climb between -0.02 and 0.09,STABILISE,no change,1,1,1,1
roll between -0.0009 and -0.0003,pitch between 0.0009 and 0.001,yaw between 0.02 and 0.025,rollspeed between 0.00009 and 0.0004,pitchspeed between 0.0001 and 0.0005,yawspeed between 0.001 and 0.002,airspeed between 0 and 0,throttle between 0 and 0,climb between -0.02 and 0.09,STABILISE,no change,1,1,1,1
roll between -0.0009 and -0.0003,pitch between 0.0009 and 0.001,yaw between 0.02 and 0.025,rollspeed between 0.00009 and 0.0004,pitchspeed between 0.0001 and 0.0005,yawspeedrange,airspeed between 0 and 0,throttle between 0 and 0,climb between -0.02 and 0.09,STABILISE,no change,1,1,1,1
roll between -0.0009 and -0.0003,pitch between 0.0009 and 0.001,yaw between 0.02 and 0.025,rollspeed between 0.00009 and 0.0004,pitchspeed between 0.0001 and 0.0005,yawspeed between 0.001 and 0.002,airspeed between 0 and 0,throttle between 0 and 0,climb between -0.02 and 0.09,STABILISE,no change,1,1,1,1
roll between -0.0009 and -0.0003,pitch between 0.0009 and 0.001,yaw between 0.02 and 0.025,rollspeed between 0.00009 and 0.0004,pitchspeed between 0.0001 and 0.0005,yawspeed between 0.001 and 0.002,airspeed between 0 and 0,throttle between 0 and 0,climb between -0.02 and 0.09,STABILISE,no change,1,1,1,1